id,payload,topic,resource_id,processed,error_message,created_at
37354b3e-596d-4d90-bae8-0863c58d1c11,"{""id"": 132285845794, ""data"": {""id"": ""158987041757""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T22:02:42Z""}",payment,158987041757,f,,2026-05-17 22:02:43.122003+00
c8ab7404-d720-4265-9ffa-9969e1a58d69,"{""id"": 132152899893, ""data"": {""id"": ""158987041757""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-17T22:02:42Z""}",payment,158987041757,f,,2026-05-17 22:02:52.385113+00
61872b0a-faf4-4e70-ae55-7f88a8802930,"{""id"": 132439994361, ""data"": {""id"": ""159989901011""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-24T03:22:54Z""}",payment,159989901011,f,,2026-05-24 03:22:55.284962+00
18747b0b-8fc7-45be-9cf8-05898c8aa695,"{""id"": 132440008773, ""data"": {""id"": ""159989901011""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-24T03:22:54Z""}",payment,159989901011,f,,2026-05-24 03:23:18.607623+00
a46dabb9-3dd7-4704-9127-9b92efb431f5,"{""id"": 132602599074, ""data"": {""id"": ""160064629661""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-24T21:33:35Z""}",payment,160064629661,f,,2026-05-24 21:33:36.185026+00
65cf98fe-b9ac-473a-bb9f-c1e1700ee401,"{""id"": 132602689056, ""data"": {""id"": ""160064629661""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-24T21:33:35Z""}",payment,160064629661,f,,2026-05-24 21:33:57.109554+00
f5899707-6e31-47fe-84fe-82f98bc5b539,"{""id"": 132609503114, ""data"": {""id"": ""160868147728""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-25T00:08:27Z""}",payment,160868147728,f,,2026-05-25 00:08:28.814169+00
4f2aa95d-cf78-4b75-8a2c-143179868cec,"{""id"": 132609636142, ""data"": {""id"": ""160868147728""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-25T00:08:27Z""}",payment,160868147728,f,,2026-05-25 00:08:56.747189+00
5ec2d7a7-ed96-43f1-9563-811b940ce6be,"{""id"": 132516220093, ""data"": {""id"": ""160217487701""}, ""type"": ""payment"", ""action"": ""payment.created"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-26T00:19:12Z""}",payment,160217487701,f,,2026-05-26 00:19:14.2242+00
669b98f6-cc0a-4b6b-8a85-7ea382daa4ee,"{""id"": 132694963086, ""data"": {""id"": ""160217487701""}, ""type"": ""payment"", ""action"": ""payment.updated"", ""user_id"": ""206332704"", ""live_mode"": true, ""api_version"": ""v1"", ""date_created"": ""2026-05-26T00:19:12Z""}",payment,160217487701,f,,2026-05-27 00:25:40.505093+00
